Word,OccurTotal,OccurNum,Rating.Mean,Rating.SD,Frequency
terrier,19,19,8.68,2.54,49
unlisted,19,19,11.21,2.9,49
abandonment,22,22,10.27,2.57,49
ascertain,20,19,12.68,3.86,49
daydream,19,19,7.74,2.4,49
devastation,19,18,10.83,2.96,49
forklift,18,18,9.11,3.55,49
humbug,19,17,8.29,2.73,49
imperfect,20,20,10.45,3.02,49
indulgence,19,19,10.74,2.05,49
intubation,21,16,15.12,4.49,49
magnifying,19,19,8.47,2.57,49
mugger,19,17,11.29,4.18,49
overgrown,20,20,8.7,2.77,49
pentagram,18,18,10.89,3.32,49
plural,20,20,7.45,1.43,49
refinery,18,18,11.11,3.01,49
reggae,18,18,11.56,2.15,49
spinster,19,17,13.29,3.04,49
stationary,18,18,7.22,2.73,49
swill,19,14,14,2.48,49
synagogue,18,15,11.73,2.6,49
systolic,19,13,17.23,3.88,49
testy,19,18,9.33,3.5,49
unravel,19,19,10.16,2.69,49
whirlwind,18,18,10.5,3.19,49
clergy,1929,1900,10.15,3.57,48
dissatisfied,20,20,9.95,3.05,48
anterior,18,17,14.12,3.71,48
beret,18,18,10.33,3.94,48
bookcase,19,19,5.63,2.89,48
brewing,18,18,10.44,2.89,48
bulkhead,18,14,13.07,4.29,48
cite,19,17,13.29,3.46,48
furnish,18,18,10.5,3.37,48
gothic,19,19,13.63,3.29,48
grit,18,17,9.71,3.48,48
hitchhike,19,19,9.53,3.04,48
imaginable,18,18,9.83,2.85,48
implication,18,18,12.22,3.04,48
irritate,19,19,9.47,4.01,48
nippy,18,17,8.88,2.78,48
pious,19,16,12.81,3.08,48
restoration,18,18,11.17,3.57,48
tablecloth,19,19,6.26,2.49,48
warship,18,18,10.44,3.24,48
accommodation,19,19,9.58,3.15,48
agricultural,19,19,10.11,2.26,48
baggy,18,18,6.83,2.81,48
bedpan,18,17,11.18,5.36,48
bohemian,19,19,15.37,3.73,48
braid,18,18,7.22,3.67,48
clutter,18,18,8.33,3.12,48
concerto,20,18,12.89,3.43,48
configuration,19,19,11.68,2.26,48
contraband,18,18,13.11,4.27,48
corsage,19,19,11.47,3.19,48
covet,19,19,12.16,3.91,48
cultivate,18,18,12.39,3.76,48
dictation,18,18,12.11,2.74,48
font,18,18,11.5,4.9,48
foxhole,18,18,11.06,3.47,48
goblin,18,18,7.67,2.72,48
layman,18,17,10.65,3.02,48
locator,19,19,9.05,3.29,48
maitre,18,12,14.33,4.52,48
milkman,19,19,6.37,1.89,48
murmur,18,18,11.22,4.31,48
nutrition,19,19,9.74,1.85,48
nutshell,18,18,6.67,2.74,48
ostrich,20,19,6.42,2.06,48
problematic,19,19,11.63,3.5,48
retaliation,19,18,13,2.33,48
savor,22,22,10.14,3.28,48
shocker,19,19,11.58,4.19,48
shunt,18,17,13.53,4.06,48
simulated,19,19,11.37,3.29,48
soundtrack,18,18,8.56,2.38,48
surname,18,18,12.22,3.84,48
unwise,19,19,7.42,2.29,48
voc,19,2,15,1.41,48
weirdness,18,18,8.61,3.2,48
wicker,18,18,9.5,3.68,48
archaeological,18,18,9.44,2.45,48
brainy,21,21,7.86,3.57,48
builder,21,21,5.95,1.99,48
bulge,21,21,8.1,2.93,48
chardonnay,18,16,16.25,2.74,48
clout,18,14,16.86,2.91,48
correspond,20,20,11.85,2.85,48
dismal,18,18,10.56,2.68,48
embezzlement,20,19,14.74,2.28,48
enduring,19,19,11.21,2.68,48
fray,20,19,11.47,2.99,48
gallop,19,19,8.32,3.27,48
godson,18,17,9.94,4.52,48
incomparable,21,20,12.55,3.05,48
mutilation,21,19,11.53,3.94,48
navigational,20,19,11.21,2.8,48
philistine,19,19,12.21,4.48,48
playtime,21,21,4.24,1.51,48
plunger,19,19,9.63,4.94,48
redirect,20,20,10.95,2.82,48
reinforce,20,20,10.2,2.07,48
sabbatical,19,18,15.39,3.35,48
silo,20,15,9.93,4.38,48
spotter,21,21,11.57,3.36,48
stethoscope,19,18,8.5,2.81,48
succession,21,21,10.76,3.51,48
swig,19,18,9.89,4.19,48
sycamore,19,17,11.12,3.9,48
versatile,20,20,12.25,3.08,48
absolution,18,17,11.71,3.14,48
appendicitis,19,18,12,3.91,48
astonished,19,19,10.58,2.5,48
audacity,19,18,13,2.4,48
biceps,19,19,9.42,3.15,48
blister,19,19,6.74,2.51,48
blot,19,16,8.38,3.52,48
bobsled,18,16,9.38,2.45,48
constellation,19,19,9.58,3.95,48
contend,19,19,12.42,3.47,48
crunchy,18,18,5.44,1.98,48
earnings,18,18,8.06,3.42,48
filet,18,18,9.89,3.1,48
gimp,18,18,11.89,4.65,48
pail,19,19,6.16,2.67,48
pecan,20,20,6.8,1.85,48
postage,18,18,8.33,2.17,48
prose,18,17,12.06,3.82,48
retractor,19,18,13.11,3.86,48
safeguard,18,18,11,3.03,48
unforgettable,18,18,8.94,2.29,48
astrology,19,19,9.53,2.52,47
seeker,19,19,7.68,2.98,47
dizziness,18,18,8.06,2.69,47
attain,19,19,10.84,3.91,47
binge,18,18,15.22,4.05,47
enigma,20,18,14.17,3.03,47
fend,18,17,10.18,2.1,47
fruitful,18,18,10.39,2.75,47
gully,18,18,10.78,3.62,47
honcho,18,16,11.69,5.21,47
ingenuity,19,19,11.79,2.95,47
klutz,18,18,10.22,3.78,47
lynching,20,20,12.3,4.03,47
mogul,19,19,12.32,4.27,47
nectar,19,19,8.95,2.91,47
ordnance,19,16,14,3.76,47
oversized,18,18,9.89,3.29,47
preferable,18,18,9,2.06,47
rancher,19,18,9.72,4.21,47
rebellious,19,19,10.26,3.59,47
relapse,19,19,12.89,3,47
sidebar,19,18,12.61,3.05,47
silencer,20,19,11.84,3.15,47
sprinkler,19,19,5.53,1.58,47
supermodel,19,19,10.37,4.45,47
tinkle,18,18,5.67,2.25,47
unimaginable,19,19,10.47,3.79,47
adhesive,18,18,9.17,2.73,47
calculus,19,19,14,2.56,47
curator,19,19,11.68,3.56,47
dictatorship,18,18,11.72,2.74,47
doable,19,18,9.67,2.17,47
elevation,19,19,9.95,2.66,47
loudspeaker,18,18,10,2.57,47
minion,18,16,11.31,3.38,47
peeper,20,18,8.33,4.03,47
predecessor,18,18,13.83,3.68,47
provincial,22,20,12.7,3.16,47
quince,18,15,14,4.83,47
regrettable,19,19,10.37,2.52,47
seatbelt,20,19,6.47,4.3,47
strudel,19,17,10.59,4.62,47
sup,19,15,11.53,3.44,47
telepathy,18,18,11.39,3.11,47
tock,18,12,6.5,3.66,47
toga,19,17,11.12,3.14,47
turpentine,19,19,10,2.91,47
vamp,19,16,15.06,2.17,47
widespread,18,18,9.39,2.97,47
wither,18,18,9.33,3.18,47
amorous,19,17,13.71,2.71,47
angst,19,16,13.12,2.92,47
biased,20,20,10.95,2.68,47
boomerang,19,19,9.79,2.46,47
brisket,21,18,12.11,4.57,47
collide,19,19,9.79,3.77,47
crabby,18,18,9,3.07,47
craftsman,20,20,8.8,2.97,47
defiant,21,20,10.45,3.47,47
deplorable,18,17,14.24,1.82,47
exaggeration,19,19,9.84,3.1,47
fondue,18,18,10.78,3.37,47
footwork,20,19,10.63,3.09,47
grapevine,19,19,7.37,2.11,47
groan,20,20,8.7,2.7,47
hoe,18,18,8.72,2.95,47
homely,19,19,11.32,3.76,47
inferno,19,19,10.53,2.22,47
justification,19,19,10.74,3,47
outback,18,18,9.89,3.56,47
pentothal,19,7,17,2.83,47
proclaim,19,19,11.05,2.5,47
rerun,19,19,7.63,1.74,47
rouse,19,19,12.84,2.89,47
spud,20,19,9.05,4.38,47
suave,20,20,11.05,2.21,47
tarn,19,10,13.2,2.74,47
thoroughfare,20,19,13.37,3.44,47
turnpike,18,18,11.06,3.7,47
unconditional,18,18,10.44,3.4,47
wattle,19,11,11.36,2.91,47
ascend,18,18,10.67,2.99,47
atmospheric,18,18,10.11,2.93,47
chime,18,18,7.83,2.57,47
circulate,19,19,9.79,3.29,47
clemency,19,16,14.12,4.43,47
commemorate,20,19,12,3.57,47
commissar,19,13,13.62,3.57,47
geology,19,19,10,2.6,47
grasshopper,18,18,5.78,1.7,47
hiss,18,18,6.33,2,47
mouthpiece,20,20,10.6,2.28,47
niche,18,17,14.06,4.01,47
oppressive,18,18,12.44,3.24,47
ringside,18,17,9.88,2.64,47
snippy,19,19,10.58,4.03,47
statutory,20,19,14.58,2.71,47
undivided,18,18,9.28,2.91,47
vary,18,18,8.94,2.04,47
feline,1939,1918,8.43,3.11,46
simplify,19,19,8.53,2.29,46
cabana,18,17,13.12,2.83,46
cornbread,20,20,6.4,2.95,46
garbled,18,17,12.29,2.64,46
hindsight,18,17,12.24,2.7,46
reluctance,19,19,11,2.89,46
blunder,18,18,10.61,3.29,46
bombshell,18,18,11.22,3.23,46
commendation,19,18,12.39,1.75,46
developer,18,18,10.28,2.97,46
drainage,19,19,10.84,3.3,46
drat,18,15,8.6,2.85,46
dugout,19,19,8.68,3.64,46
fortnight,19,17,10.53,3.39,46
gangrene,18,17,11.94,3.21,46
gazebo,18,17,9.76,3.03,46
handmade,19,19,7.79,3.01,46
headstrong,18,18,11.11,3.45,46
nuthouse,19,19,10.26,3,46
prissy,18,18,9.06,3.15,46
shakedown,19,19,12.32,3.28,46
showgirl,18,18,11.72,4.64,46
spectator,19,19,10.89,2.92,46
sprout,18,18,9.11,4.8,46
travesty,18,18,12.11,2.61,46
ulterior,20,18,12.5,2.92,46
archduke,20,17,11.59,3.99,46
bistro,19,19,11.79,3.95,46
burro,20,18,10.72,4.75,46
confetti,18,18,7.39,2.99,46
crossfire,19,19,10.16,3.27,46
cynicism,22,20,13.25,3.52,46
deductible,19,19,13.79,3.24,46
doctorate,18,18,13.78,3.41,46
dojo,18,17,12.94,3.83,46
dysentery,19,19,13.63,3.22,46
grisly,19,18,10.39,3.42,46
gusto,19,19,11.53,2.97,46
inconceivable,20,20,11.05,3.62,46
innuendo,18,16,13.56,2.5,46
limpet,18,9,14.11,3.69,46
lox,18,14,13.79,3.33,46
magnesium,18,18,11.72,2.37,46
phi,19,14,13.36,3.46,46
processor,19,19,12.58,4.38,46
relinquish,19,18,12.44,2.57,46
safekeeping,18,16,8.19,3.17,46
saran,18,10,11.3,4.22,46
sardine,19,19,7.74,2.86,46
schoolmaster,19,18,8,3.11,46
sickening,19,19,7.26,1.76,46
snooze,19,19,6.84,1.68,46
stinging,18,18,6.78,2.24,46
swirl,18,18,6.67,2.54,46
toxin,18,18,9.33,2.63,46
turbine,18,18,11.06,3.69,46
acne,20,20,11.4,2.19,46
angina,19,14,15.86,4.29,46
barley,21,20,9.8,3.38,46
barter,20,18,10.72,4.11,46
bazooka,19,19,10.53,3.08,46
birthright,19,19,13.37,3.64,46
brie,19,16,12.69,4.24,46
discontent,21,21,11.86,2.9,46
discredit,20,20,11.1,2.25,46
elixir,19,19,11.53,2.91,46
expire,19,19,7.68,2.77,46
forsake,21,21,10.86,2.99,46
grievance,19,19,11.79,2.76,46
groggy,19,19,11.32,4.63,46
inventive,19,18,9.56,3.36,46
lenient,20,18,11.67,2.17,46
liven,19,17,11.29,3.02,46
opus,19,13,13.85,4.74,46
overlapping,19,18,10.33,2.95,46
pendant,20,20,10.3,2.34,46
proxy,18,17,14.88,2.62,46
purser,19,11,14.27,5.12,46
reek,18,17,8.71,2.66,46
reenactment,18,18,10.5,2.92,46
resistant,20,20,8.95,2.5,46
scandalous,18,18,11.89,2.54,46
scented,20,20,7.7,2.08,46
sculptor,19,19,9.84,3.69,46
spirituality,20,20,9.05,3.58,46
spokesperson,20,20,10.5,4.42,46
statistical,19,19,15.11,3.4,46
steamy,20,20,8.8,3.16,46
stickler,21,19,11.95,3.41,46
taker,20,20,7.9,2.2,46
talkative,18,18,8,3.25,46
tarantula,19,17,7.76,3.63,46
tripod,19,19,9.26,3.07,46
veto,18,18,11.39,2.23,46
voucher,20,20,10.3,3.28,46
westbound,19,19,10.32,2.79,46
anonymity,18,18,13.44,2.62,46
chloride,18,18,12.22,2.88,46
compressed,19,19,10.68,2.79,46
dismantle,18,18,10.89,2.72,46
equilibrium,18,18,12.67,2.74,46
euphemism,18,16,14.38,4.43,46
fatality,19,19,10.26,2.49,46
greyhound,19,19,8,1.97,46
monogamy,18,17,13.06,3.09,46
negotiable,19,19,12.58,3.24,46
nominate,18,18,10.67,2.5,46
obstinate,19,18,13.11,2.61,46
quartermaster,18,14,13.29,3.47,46
rectal,18,17,13.06,3.54,46
specify,19,19,9.21,2.25,46
subatomic,19,18,12.94,2.53,46
sunken,19,18,8.5,3.07,46
teammate,18,18,6.17,1.42,46
verification,18,18,11.28,3.34,46
windpipe,18,18,9.28,2.78,46
blackness,19,19,7,3.07,45
nucleus,1919,1909,11.4,2.58,45
flipper,20,19,8.58,3.42,45
bystander,18,18,11.06,3.11,45
choreography,22,21,12.14,4.04,45
echelon,19,14,13.5,3.3,45
evade,19,19,11.11,3.18,45
kindred,19,18,11.67,3.55,45
militant,18,17,12.59,2.98,45
nemesis,18,16,11.06,3.28,45
remission,19,19,13.58,4.59,45
solicitation,18,18,13.78,2.86,45
thoroughbred,19,19,11.26,3.6,45
tiptoe,37,37,5.65,2.28,45
tranquilizers,19,19,11.74,4.46,45
utilize,19,19,10.63,2.91,45
abundance,20,20,10.45,2.16,45
adjutant,18,11,13.91,4.21,45
attribute,18,18,12.67,3.14,45
commute,18,18,9.33,2.95,45
corset,18,18,10.67,2.2,45
damsel,18,18,7.83,2.12,45
digestive,18,18,10.44,3.52,45
dumpling,18,18,8.5,3.7,45
enlarge,19,19,8.26,2.13,45
entrails,18,16,14.06,4.67,45
foyer,19,19,11.68,4.12,45
frostbite,18,18,9.44,3.7,45
glaze,19,19,8.42,3.17,45
gumbo,20,19,12.05,2.41,45
gunnery,18,17,9.71,2.66,45
harem,18,18,11,2.89,45
historian,19,19,11.58,4.6,45
insidious,18,15,14.47,5.32,45
morn,18,17,9.53,3.1,45
mythical,19,19,7.11,2.02,45
nautical,18,18,11.39,3.53,45
ninny,20,19,9.37,4.35,45
petal,18,18,6.33,2.66,45
philanthropist,18,18,14.06,3.54,45
polio,18,18,11.67,3.18,45
pucker,19,18,7.61,2.77,45
reassure,18,18,9.33,3.69,45
redheaded,19,19,6.47,2.65,45
roost,18,16,10.5,3.81,45
solicitor,19,19,12.53,2.91,45
squeamish,18,18,10.22,3.1,45
stroller,19,19,7.84,4.35,45
tasteless,19,19,9.53,2.74,45
toymaker,18,18,5.94,2.18,45
vacancy,20,20,8.05,1.7,45
abstinence,19,19,12.74,2.66,45
android,19,18,13.89,4.39,45
barnyard,21,21,5.38,4.07,45
bitsy,20,20,6.1,3.29,45
bottomless,18,18,8.33,2.68,45
boudoir,19,12,13,5.01,45
brainless,21,20,8.45,3.56,45
brim,21,19,10.68,3.02,45
chiropractor,19,18,12.67,2,45
chisel,19,19,10.53,3.03,45
clandestine,20,18,13.28,3.08,45
competence,19,19,12.58,3.11,45
discrepancy,18,18,13.89,2.19,45
fiddler,18,18,8.56,2.89,45
hyper,19,19,8.05,3.57,45
impractical,18,18,11.44,2.23,45
insolence,19,19,14.11,3.53,45
lasso,19,18,8.56,2.85,45
lingering,19,18,11.56,3.4,45
mooch,19,18,11.72,4.84,45
noticeable,18,18,8.06,2.26,45
odyssey,20,20,12.6,3.52,45
promenade,20,18,11.44,3.01,45
quarterly,21,21,11.24,3.37,45
realist,21,21,13.48,4.42,45
scrounge,18,17,10.35,3.69,45
sledgehammer,21,21,9.52,3.92,45
spinner,20,19,9.89,5.52,45
submissive,20,20,12.9,2.86,45
tantrum,20,20,6.65,2.8,45
trivia,19,19,8.37,2.79,45
turret,19,18,12,3.22,45
veneer,19,17,11.59,3.22,45
whaling,20,19,10.26,3.43,45
willies,21,20,8.9,3.51,45
workload,20,20,10.4,2.19,45
broth,18,18,9,3.73,45
croissant,20,20,10.15,3.92,45
flaky,19,19,9.63,2.24,45
folklore,18,18,9.56,3.57,45
godsend,19,18,11.56,3.22,45
humid,18,18,8.56,2.12,45
immaterial,19,18,11.83,2.98,45
indict,20,17,11.82,3.11,45
interval,19,18,10.56,2.87,45
joyride,18,18,9.72,2.67,45
maximize,19,19,10.58,2.93,45
nutritious,18,18,8.89,2.49,45
ovation,19,16,11.19,2.34,45
playbook,20,20,10.6,3.19,45
schnitzel,18,17,12.06,5.08,45
speakerphone,18,18,9.72,3.25,45
stinger,19,19,7.79,4.05,45
stockholder,18,18,12.78,3.52,45
tambourine,19,19,6.53,3.03,45
turquoise,19,19,7.68,2.93,45
unmistakable,19,19,10.21,3.17,45
vas,19,7,12.71,5.44,45
viral,20,19,14.11,2.81,45
yuppie,19,18,13.33,4.67,45
zilch,18,17,9.35,2.8,45
buffoon,19,19,9.16,3.24,44
babble,18,18,7.17,3.07,44
circuitry,20,16,12.62,5.56,44
unsuccessful,19,19,9.42,3.7,44
ascension,18,14,12.71,3.15,44
backfire,19,19,10.47,3.99,44
callback,19,19,10.89,3.21,44
conserve,18,18,8.72,3.1,44
denounce,19,19,12.16,3.22,44
differential,19,19,12.37,2.79,44
endearing,19,18,13.89,4.85,44
licorice,19,19,5.79,1.93,44
misread,19,19,10.11,2.87,44
poncho,19,19,8.84,2.63,44
pretense,18,17,11.82,2.96,44
recap,18,18,9.83,2.36,44
reinforcement,20,20,10.35,3,44
rigor,18,18,11.11,3.03,44
snowstorm,19,19,5.89,2.28,44
spineless,19,19,11.05,3.78,44
taxicab,19,18,7.89,2.63,44
timeless,18,18,9.83,2.07,44
totem,18,16,8.19,2.17,44
unselfish,19,19,9,3.45,44
bowery,19,12,12.42,4.27,44
charlatan,18,14,12.36,2.59,44
croquet,18,17,11.06,3.13,44
decorative,20,20,10.1,4.51,44
demeaning,18,18,11.61,2.81,44
dissection,18,18,11.56,2.75,44
ebony,18,17,11.18,3.11,44
fico,18,8,15.5,5.83,44
forceful,19,19,7.89,1.91,44
fornication,18,17,12.35,2.37,44
harpoon,19,19,11.21,3.97,44
huckleberry,20,18,10.44,3.94,44
incest,19,19,12.26,2.4,44
indicator,18,18,10.33,3.01,44
locust,18,18,8.67,3.83,44
narcotic,18,18,13.11,2.42,44
pivotal,19,16,12,4.75,44
resuscitate,19,19,11.74,2.75,44
rugby,19,19,11.42,3.37,44
scavenger,19,19,9.32,2.98,44
shire,18,13,10.92,3.09,44
splatter,19,19,8.05,2.91,44
splint,19,19,9.16,2.63,44
stapler,18,18,5.83,2.2,44
teapot,18,18,6.22,2.49,44
transference,19,17,14.29,4.21,44
undying,18,18,10.44,3.26,44
unhook,18,18,7.22,2.92,44
vigil,19,18,9.44,3.17,44
yeast,19,19,9.53,4.41,44
adolescence,19,19,10.42,1.92,44
alphabetical,19,19,6.26,1.63,44
amputate,20,20,9.6,2.26,44
antiseptic,20,19,9.95,2.91,44
beehive,19,19,7.47,5.05,44
birdman,19,15,9.6,4.78,44
bogeyman,19,19,6.21,5.21,44
caste,19,14,13.07,2.97,44
commendable,19,19,10.32,3.25,44
darkroom,21,21,11.67,5.2,44
disparage,18,17,14.88,3.06,44
emporium,21,18,13.78,2.92,44
envoy,20,19,13.11,3.54,44
exemplary,18,17,13.06,2.61,44
eyelash,20,20,5.8,2.5,44
flutter,20,20,8.35,3.25,44
grader,20,20,7.9,2.36,44
grouchy,19,19,5.53,1.65,44
hypothesis,19,19,11.89,2.47,44
impersonal,21,19,10.84,2.93,44
intolerant,19,18,11,3.18,44
lifeline,20,20,8.8,2.65,44
mongrel,18,17,10.24,3.56,44
oncologist,18,14,14.79,3.29,44
rapture,20,20,11.6,3.42,44
recycle,18,18,10.61,4.27,44
revise,21,21,11.67,2.85,44
stylist,20,20,8.6,1.88,44
subscribe,19,19,9.84,2.34,44
toenail,20,20,5.1,2.69,44
toner,20,19,14.16,3.48,44
trendy,18,18,10.83,4.18,44
tryout,21,21,9.05,2.99,44
unplug,20,20,7.35,2.18,44
untimely,20,19,10,2.24,44
untouchable,18,18,9.39,2.87,44
wail,18,17,9.41,3.71,44
acceleration,19,19,9.84,2.79,44
coliseum,20,20,11.9,3.35,44
conform,18,18,10.5,3.35,44
copycat,19,19,6.42,2.61,44
cubic,18,18,11.33,2.68,44
demographic,18,17,12.65,2.67,44
kidder,18,15,8.53,2.83,44
kudos,19,19,13.26,4.93,44
pedicure,19,19,11.42,3.69,44
preemptive,20,19,13.58,3.08,44
punitive,20,17,13.06,3.82,44
remarry,20,20,8.65,2.89,44
sanitary,18,18,10.5,2.92,44
schoolyard,18,18,5.5,2.09,44
spec,18,15,12.47,4.1,44
unconventional,19,19,11.68,3.15,44
warpath,18,16,10.12,3.56,44
divinity,19,17,10.41,3.66,43
modification,19,19,12.32,2.91,43
monolith,19,16,14.81,2.43,43
spaniel,19,16,7.94,1.98,43
woodwork,19,19,10.42,2.81,43
activation,18,18,9.78,3.44,43
assert,18,18,10.83,2.71,43
atone,18,17,12.12,4.54,43
blowtorch,18,18,9.94,3.15,43
handout,19,19,7.74,2.54,43
impromptu,19,18,13.61,3.2,43
insistent,18,18,10.39,3.01,43
keno,20,13,16.62,4.54,43
laxative,19,19,11.68,3.32,43
lineage,18,17,11.59,2.72,43
packaging,18,18,8.89,1.71,43
plunder,18,17,12.47,3.22,43
refuel,18,18,10.22,4.26,43
risotto,22,18,16,4.46,43
sprain,18,18,9.06,2.51,43
styling,19,19,8.42,2.63,43
subcommittee,19,19,11.95,3.76,43
whopper,18,18,7.83,2.77,43
yodel,19,19,8.16,2.36,43
zinc,19,19,12.47,3.96,43
alcoholism,20,20,11.6,3.49,43
annex,19,19,12.53,3.13,43
avail,18,18,12.11,3.2,43
bombardment,19,19,11.37,3.22,43
broomstick,19,19,6.11,2.4,43
bullion,19,17,12.94,3.47,43
carnation,19,19,10.21,2.94,43
coastal,18,18,8.11,2.27,43
damper,18,18,9.5,3.15,43
diddle,18,15,9.8,4.51,43
displacement,18,17,12.65,3.37,43
elevate,19,19,9.11,2.47,43
entrapment,19,17,15,4.8,43
heightened,18,18,10.17,2.53,43
hooky,18,15,10.93,3.01,43
inexcusable,18,17,7.71,2.34,43
irrigation,18,18,10.94,2.62,43
junket,19,15,14.53,4.47,43
likable,20,20,7,1.75,43
lurch,18,17,11.18,3.26,43
misleading,18,18,9.67,3.43,43
molester,19,19,9.74,2.83,43
monotonous,18,17,13.47,3.06,43
newsletter,19,19,9.42,3.85,43
nothingness,19,17,10.94,3.85,43
onset,19,18,10.72,2.72,43
pigsty,19,19,8.16,3.7,43
positioning,18,18,10.06,3.47,43
recycled,19,19,8.32,3.33,43
rudeness,18,18,8.89,3.1,43
sanction,19,19,12.68,3.02,43
saturated,19,19,10.63,2.91,43
shipyard,18,17,10.47,3.83,43
shortness,18,18,8.11,2.63,43
sleek,18,18,11.17,3.19,43
snout,18,18,6.83,2.62,43
unplugged,19,19,5.42,1.95,43
woozy,19,19,7.84,3.2,43
amputation,19,19,11.89,2.9,43
blubber,19,19,7.84,2.65,43
celibacy,19,19,12.37,2.89,43
clang,19,17,9.53,3.74,43
constitute,20,20,12.7,3.33,43
doctrine,18,18,11.89,2.95,43
dropout,20,20,10.05,3.05,43
ergo,21,16,15.38,3.07,43
extinguish,19,19,8.95,3.14,43
fabrication,19,19,12.89,2.13,43
frock,18,17,9.65,4.23,43
getup,19,18,6.72,2.63,43
haw,19,14,11.86,4.52,43
hormonal,20,19,12.47,2.72,43
inept,21,17,14.29,3.74,43
infatuation,20,20,12.6,2.74,43
mausoleum,18,14,12.93,3.89,43
mobster,20,20,10,2.83,43
munch,20,20,7.6,2.37,43
nonexistent,21,21,11,3.78,43
pinhead,20,19,10.37,3.04,43
pinto,20,19,9,2.4,43
plop,20,20,7.15,4.18,43
portray,21,21,10.95,2.48,43
practitioner,18,18,13.61,3.13,43
reroute,19,19,11.05,2.72,43
revisit,21,20,10,3.84,43
rigorous,20,20,11.6,2.46,43
sappy,21,18,9.44,3.24,43
segregation,18,18,11.28,2.49,43
skylight,20,20,8.6,3.23,43
splat,20,20,6.4,1.85,43
tweet,19,19,13.05,7.64,43
unhand,21,19,11.63,3.8,43
weakling,20,19,9.58,2.06,43
wimpy,20,20,8.85,4.88,43
almanac,20,19,10.58,4.13,43
apex,20,19,12.58,2.19,43
bequeath,19,17,13.71,4.01,43
brotherly,18,18,7.78,2.73,43
driftwood,19,19,9.53,2.41,43
eviction,18,18,12.61,4.2,43
flounder,20,20,8.8,3.46,43
heirloom,18,18,9.67,3.61,43
hooey,18,12,10.17,2.25,43
impressionable,19,19,9.74,2.79,43
individuality,18,18,9.94,3.24,43
irreplaceable,18,18,10.67,2.93,43
ladylike,18,18,7,2.59,43
mantra,20,19,13.74,5.02,43
middleweight,20,18,9.83,4.06,43
nightstand,18,18,6.67,2.72,43
overpriced,18,18,9.06,2.84,43
parsley,20,20,8.95,3.44,43
projectile,19,19,10.21,3.44,43
quiche,19,15,13.13,4.29,43
renovation,18,17,11.12,2.62,43
reputable,19,19,12.58,2.89,43
skim,19,19,8.84,3.22,43
trimester,18,17,12.12,3.02,43
launcher,19,19,9.16,3.34,42
straitjacket,19,19,11.11,3.09,42
nationality,19,19,9.84,3.06,42
punishable,18,18,9.17,2.75,42
coincidental,18,18,10.94,2.51,42
comical,19,19,9.42,2.91,42
decorum,18,17,15.12,3.14,42
hanky,18,17,8.71,3.44,42
horsey,18,17,5.71,4,42
longitude,19,19,10.58,3.47,42
mousy,19,17,11.47,2.29,42
oar,18,18,5.83,2.96,42
pixie,19,18,7.72,4.14,42
shrew,18,17,11.82,4.26,42
sumo,18,16,9.81,3.76,42
televised,19,19,7.95,2.55,42
tranquil,19,19,13.42,3.53,42
typist,18,18,8.56,3.38,42
vocation,18,18,12.61,3.42,42
wallop,19,16,10.06,4.06,42
warranty,18,18,11.17,3.84,42
billiard,20,19,11.11,3.35,42
bipolar,22,22,15.05,3.81,42
blackbird,19,19,6.11,1.66,42
bustle,19,17,12,2.85,42
censor,19,19,9.74,2.75,42
checkered,18,18,9.28,3.64,42
cloaking,20,19,9.68,3,42
clothe,18,18,8.83,2.73,42
cocker,19,11,11,3.97,42
cutthroat,18,17,10.76,2.93,42
departmental,19,18,12.61,3.35,42
distressing,19,19,10.32,3.77,42
entree,19,18,11.22,4.14,42
famed,19,19,9.89,1.91,42
frolic,18,18,8.5,2.62,42
gaping,18,18,9.83,2.9,42
gastric,19,17,14.59,4.51,42
geological,18,18,10.67,3.41,42
godless,18,18,9.78,2.88,42
gratification,19,19,10.26,3.09,42
hem,19,19,8.37,2.5,42
incomprehensible,19,19,11.42,3.15,42
inconclusive,19,19,12.32,2.94,42
landslide,19,19,9.42,2.67,42
limber,18,18,9.67,3.27,42
mariachi,18,14,11,3.04,42
metaphysical,20,18,14.5,2.18,42
midday,19,19,7.37,2.36,42
nincompoop,18,17,6.82,2.1,42
rectify,19,19,15.89,3.67,42
sable,19,13,11.85,4.49,42
sanctimonious,20,14,15.64,3.71,42
sandstorm,18,18,9.44,2.12,42
seltzer,19,19,11.11,4.15,42
slicker,19,18,9.33,3.07,42
squirm,18,17,9.18,3.13,42
unzip,18,18,6.06,3.67,42
wino,19,18,11.22,4.18,42
workings,20,20,8.2,2.4,42
airlock,19,18,11.61,5.14,42
bootleg,18,18,13.11,3.14,42
conga,18,17,13.65,2.94,42
conjecture,20,18,13.11,2.45,42
downer,20,20,11.35,3.08,42
facade,20,20,13,2.99,42
flagstaff,20,18,11.33,3.74,42
flimsy,19,19,9.21,3.36,42
footloose,21,20,11.55,3.22,42
headset,20,20,9.05,3.86,42
hospitable,18,18,12.56,2.71,42
humanoid,20,20,13.1,3.51,42
illuminate,20,20,9.2,2.91,42
inclination,18,17,11.88,2.98,42
khaki,20,19,9.89,3.54,42
milkshake,18,18,4.89,1.88,42
monogamous,20,19,13.32,2.31,42
recruitment,20,20,10.5,2.63,42
repression,18,18,12.5,3.45,42
