Word,Pron,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
lilacs,"l""aI.l@ks",2,NN,773.55,-0.1,440.93,33,0.97,719.83,-0.1,158.94,23,0.85
lilies,"l""I.liz",2,NN,740.83,-0.11,321.17,29,0.91,675.04,-0.27,132.57,26,0.96
Liliputian,"""lIli.%pUt%i@n",NULL,NULL,1058.38,0.91,295.6,8,0.24,881.56,0.9,195.34,9,0.36
Lilliput,"l""I.lI.pUt",1,NN,844.91,0.25,428.96,11,0.38,685.19,-0.02,117.75,21,0.81
Lilliputian,"l%I.lI.pj""u.Sn=",2,NN|JJ,903.4,0.88,267.78,10,0.31,855.58,0.85,342.23,12,0.52
Lilly,"l""I.li",1,NN,740.84,-0.22,187.33,32,0.94,659.19,-0.34,132.72,26,1
Lilly's,"l""Iliz",NULL,NULL,727.32,-0.14,193.73,31,0.91,594.89,-0.61,110.98,28,1
lilt,"l""Ilt",1,NN|VB,631.9,-0.23,241.27,10,0.33,773.57,0.24,250.06,21,0.88
lilting,"l""Ilt.IN",2,JJ|VB|NN,973.7,0.43,345.83,10,0.3,885.89,0.61,232.8,18,0.69
lily,"l""I.li",1,NN,641.37,-0.5,152.88,30,0.94,670.58,-0.2,176.82,26,1
Lima,"l""i.m@",1,NN,815.85,0.32,226.83,26,0.79,719.95,0.2,178.57,22,0.92
limb,"l""Im",1,NN,612.76,-0.64,169.23,33,0.97,561.54,-0.7,91.22,26,0.93
limber,"l""Im.b@`",1,JJ|VB,720.88,-0.33,248.79,32,0.94,594.44,-0.58,147.69,27,0.96
limbic,"l""Im.bIk",1,JJ,679.87,-0.18,179.26,23,0.7,727.71,-0.1,146.97,24,0.96
limbo,"l""Im.bo",1,NN,677.32,-0.27,169.37,31,0.91,616.41,-0.5,143.6,27,1
limbs,"l""Imz",2,NN,566.09,-0.69,90.17,33,1,568.07,-0.56,99.12,28,1
lime,"l""aIm",1,NN|VB,595.79,-0.73,145.96,34,1,556.76,-0.8,97.18,29,1
limeade,"%laIm""ed",NULL,NN,995.55,0.89,285.51,11,0.37,753.84,0.34,154.41,19,0.79
limejuice,"""laIm.dZus",NULL,NULL,869.88,0.23,280.63,32,1,644.12,-0.25,91.99,25,1
limekiln,"l""aIm.k%Iln",2,NN,1587.5,2.07,645.59,2,0.06,847.22,0.36,144.42,9,0.39
limelight,"l""aIm.l%aIt",2,NN,744.72,-0.08,294.45,32,0.97,719.54,0.03,224.74,28,1
limerick,"l""I.m@`.rIk",1,NN,758.77,0.06,243.11,22,0.65,704.3,-0.19,180.22,27,1
limestone,"l""aIm.st%on",2,NN,669.37,-0.4,163.57,30,0.91,593.71,-0.58,85.98,28,1
limit,"l""I.m@t",1,NN|VB,638.45,-0.64,214.04,33,1,581.77,-0.64,118.81,26,1
limitation,"l%I.m@t.""e.Sn=",2,NN,733.12,-0.03,192.68,33,1,720.81,0.05,148.53,27,1
limitations,"l%I.m@t.""e.Sn=z",3,NN,745.29,-0.23,331.48,34,1,680.48,-0.26,106.92,27,1
limited,"l""I.m@4.@d",2,JJ|VB,676.59,-0.39,264.16,34,1,595.63,-0.61,68.98,27,1
limiting,"l""I.m@4.IN",2,VB|NN|JJ,715.53,-0.28,175.48,32,0.97,659.41,-0.35,167.73,27,1
limitless,"l""I.m@t.l@s",2,JJ,714.18,-0.27,229.9,33,0.97,710.69,-0.2,188.44,26,0.96
limits,"l""I.m@ts",2,NN|VB,640.35,-0.52,229.3,31,0.97,562.46,-0.63,87.86,26,1
limousine,"l""I.m@.zin",1,NN,659.73,-0.35,203.63,33,1,704.04,-0.19,127.45,25,0.96
limousines,"l""I.m@.zinz",2,NN,888.07,0.52,449.65,28,0.88,796.29,0.24,181.62,21,0.91
limp,"l""Imp",1,JJ|NN|VB,613.39,-0.65,253.83,31,0.94,595.15,-0.53,195.34,26,1
limped,"l""Impt",2,VB,716.47,-0.22,217.3,30,0.88,627.68,-0.45,92.48,28,1
limpid,"l""Im.pId",1,JJ,783.96,0.03,226.03,26,0.76,681.38,-0.13,195.58,24,0.89
limping,"l""Imp.IN",2,VB,691.13,-0.31,203.72,32,0.94,617.65,-0.54,117.87,26,1
limply,"l""Imp.li",2,RB,941.55,0.42,276.59,20,0.63,680.93,-0.23,188.17,27,0.96
limps,"l""Imps",2,VB,632.32,-0.5,225.23,31,1,564.39,-0.72,73.87,28,1
Lincoln,"l""IN.k@n",1,NN,590.56,-0.68,140.19,34,0.97,626.73,-0.45,134.97,26,0.96
Lincoln's,"l""IN.k@nz",2,encl,635.27,-0.5,202.29,33,0.97,606.04,-0.54,86.45,27,1
Linda,"l""In.4@",1,NN,597.64,-0.59,133.27,33,0.97,572.28,-0.72,138.88,25,1
Linda's,"l""In.4@z",2,encl,698.21,-0.43,283.88,33,1,591.04,-0.66,93.53,26,1
Lindsay,"l""Ind.zi",1,NN,702.03,-0.31,231.22,31,0.91,677.28,-0.26,148.94,25,0.93
Lindsey's,"l""Indziz",NULL,NULL,771.62,0.11,224.97,29,0.91,712.44,-0.24,228.79,27,0.96
lindy,"l""In.4i",1,NN,684.8,-0.16,164.11,5,0.15,686.83,-0.11,178.8,23,0.88
line,"l""aIn",1,NN|VB,656.9,-0.58,313.08,31,0.94,614.61,-0.55,130.72,28,1
lineage,"l""I.ni.IdZ",2,NN,828.57,0.02,424.61,28,0.82,704.6,0.07,103.95,20,0.83
lineages,"l""IniIdZ@z",NULL,NULL,845.65,0.3,348.84,20,0.61,825.86,0.29,278.75,21,0.84
lineal,"l""I.ni@l",2,JJ,803.82,0.23,227.91,22,0.65,748.08,0.12,191.65,26,0.96
lineament,"""lIni@m@nt",NULL,NN,932.42,0.9,271.57,12,0.39,749.22,0.45,214.93,9,0.5
linear,"l""I.ni@`",2,JJ,686.97,-0.4,248.35,34,1,664.08,-0.27,183.41,24,0.92
linearly,"l""I.ni@`.li",3,RB,850.95,0.28,382.22,21,0.62,743.1,0.33,229.54,20,0.77
lineback,"l""aInb%ak",NULL,NULL,698.38,-0.24,194.14,32,0.94,633.63,-0.45,125.63,27,1
linebackers,"l""aIn.b%ak.@`z",4,NN,831.65,0.15,297.13,31,1,668.7,-0.25,142.07,27,0.96
lined,"l""aInd",2,VB,621,-0.57,161.07,32,0.97,648.61,-0.46,166.17,23,0.96
lineman,"l""aIn.m@n",2,NN,821.9,0.08,295.82,30,0.91,691.63,-0.22,149.49,27,1
linemen,"l""aIn.m@n",2,NN,854.88,0.22,355.69,26,0.81,693.43,-0.2,190.62,23,0.88
linen,"l""I.n@n",1,NN,667.12,-0.36,169.31,34,0.97,585.4,-0.48,180.03,25,0.96
liner,"l""aIn.@`",2,NN,656,-0.51,253.07,32,0.91,676.71,-0.3,217.38,24,0.89
liners,"l""aIn.@`z",3,NN,686.33,-0.26,205.7,30,0.91,659.44,-0.4,126.6,27,1
lines,"l""aInz",2,NN|VB,574.87,-0.67,169.4,31,0.94,582.77,-0.65,80.73,26,1
linesman,"l""aInz.m@n",3,NN,911.23,0.38,392.27,31,0.94,643.11,-0.32,110.13,27,1
lineup,"l""aIn.%Vp",2,NN,718.5,-0.23,182,34,1,614.89,-0.54,130.92,27,1
linger,"l""IN.g@`",1,VB,668.13,-0.55,213.73,32,0.94,576.68,-0.67,102.32,25,0.96
lingered,"l""IN.g@`d",2,VB,743.47,-0.22,290.55,34,0.97,700.26,-0.27,169.82,27,0.96
lingerie,"l""An.Z@`.ri",1,NN,743.75,-0.12,218.43,32,0.97,775.57,0.14,219.15,23,0.82
lingering,"l""IN.g@`.IN",2,VB,725.39,-0.26,295.56,31,0.91,678.23,-0.18,178.56,26,0.96
lingers,"l""IN.g@`z",2,VB,756.52,-0.14,215.02,33,0.97,651.19,-0.41,130.01,27,1
lingo,"l""IN.go",1,NN,727.5,-0.2,279.74,26,0.79,604.61,-0.53,106.89,28,1
lingual,"l""IN.gw@l",2,JJ|NN,801.04,0.05,333.39,27,0.82,712.92,-0.04,143.43,24,0.92
linguist,"l""IN.gwIst",2,NN,705.59,-0.22,186.05,29,0.91,678.07,-0.2,129.8,27,1
linguistic,"lIN.gw""Ist.Ik",3,JJ,720.76,-0.13,277.44,33,1,693.44,-0.13,136.84,27,1
linguistically,"lIN.gw""Ist.Ik.li",4,RB,1036.36,0.79,444.7,28,0.82,865.85,0.58,254.94,26,0.96
linguistics,"lIN.gw""Ist.Iks",3,NN,902.77,0.14,443.83,31,1,722.56,-0.07,201.53,27,0.96
linguists,"l""IN.gwIsts",3,NN,854.15,0.37,234.64,34,0.97,652.44,-0.24,113.47,25,0.93
liniment,"l""I.n@.m@nt",1,NN,1044.13,0.77,285.73,15,0.45,938.88,0.74,393.59,17,0.71
liniments,"l""I.n@.m@nts",2,NN,873.07,0.36,234.61,15,0.48,893.63,0.51,308.02,19,0.73
lining,"l""aIn.IN",2,VB|NN,772.39,-0.17,264.61,31,0.94,677.22,-0.33,145.41,27,1
link,"l""INk",1,NN|VB,615.36,-0.65,187.71,33,1,547.93,-0.83,77.79,27,1
linkage,"l""INk.IdZ",2,NN,734.06,-0.26,184.66,33,0.97,725.18,-0.15,229.64,28,1
linked,"l""INkt",2,VB,583.82,-0.63,141.01,34,1,555.56,-0.61,72.11,27,1
linking,"l""INk.IN",2,VB|NN,591.1,-0.65,148.6,29,0.97,599.96,-0.57,118.39,24,1
